"","Aldershot","Altrincham","Barnet","Boreham W","Bromley","Chesterfield","Dag &amp; Red","Dorking W","Eastleigh","Ebbsfleet","Fylde","Gateshead","Halifax","Hartlepool","Kidderminster","Maidenhead","Oldham","Oxford C","Rochdale","Solihull M","Southend","Wealdstone","Woking","York"
"Aldershot",NA,"17 Feb","20 Feb","13 Apr","23 Jan","3-4","3-2","01 Apr","16 Dec","12 Mar","06 Jan","1-1","25 Nov","2-1","11 Nov","4-2","09 Mar","5-2","27 Jan","23 Mar","1-1","3-1","26 Dec","1-1"
"Altrincham","2-1",NA,"06 Jan","1-1","1-2","2-1","1-1","P-P","27 Jan","6-1","16 Dec","23 Mar","26 Dec","2-2","1-1","24 Feb","01 Apr","20 Apr","23 Jan","25 Nov","11 Nov","10 Feb","09 Mar","12 Mar"
"Barnet","2-1","3-0",NA,"23 Dec","09 Mar","20 Jan","02 Dec","23 Mar","12 Mar","3-2","2-1","18 Nov","0-0","3-2","20 Apr","3-2","21 Nov","01 Apr","10 Feb","1-1","01 Jan","03 Feb","2-0","24 Feb"
"Boreham W","1-2","16 Mar","0-1",NA,"11 Nov","0-2","29 Mar","27 Jan","24 Jan","20 Apr","24 Feb","02 Mar","2-0","P-P","26 Dec","10 Feb","0-0","16 Dec","1-1","1-2","1-1","06 Apr","25 Nov","06 Jan"
"Bromley","21 Nov","23 Dec","0-2","20 Jan",NA,"17 Feb","20 Feb","2-1","1-0","01 Jan","18 Nov","3-1","02 Mar","03 Feb","16 Mar","4-1","3-0","3-1","02 Dec","13 Apr","2-1","1-1","01 Apr","23 Mar"
"Chesterfield","23 Dec","02 Dec","11 Nov","23 Mar","2-0",NA,"3-1","4-3","25 Nov","10 Feb","09 Mar","P-P","3-2","3-2","01 Apr","20 Apr","1-1","12 Mar","24 Feb","01 Jan","27 Jan","3-2","23 Jan","4-0"
"Dag &amp; Red","20 Apr","02 Mar","1-0","1-3","0-1","06 Jan",NA,"23 Jan","26 Dec","01 Apr","3-1","2-4","24 Feb","0-1","27 Jan","16 Mar","23 Mar","10 Feb","25 Nov","11 Nov","0-2","16 Dec","2-1","1-2"
"Dorking W","2-1","06 Apr","2-3","18 Nov","29 Mar","02 Mar","1-3",NA,"0-0","24 Feb","03 Feb","20 Jan","10 Feb","20 Apr","0-1","0-2","06 Jan","26 Dec","1-2","16 Mar","2-1","3-1","16 Dec","2-2"
"Eastleigh","3-0","18 Nov","3-3","21 Nov","24 Feb","03 Feb","01 Jan","23 Dec",NA,"5-2","10 Feb","0-6","20 Apr","23 Mar","2-1","01 Apr","20 Jan","2-2","16 Mar","02 Mar","02 Dec","0-0","0-1","3-1"
"Ebbsfleet","2-0","13 Apr","16 Dec","3-1","26 Dec","0-1","0-1","0-1","17 Feb",NA,"06 Apr","16 Mar","0-2","20 Jan","3-0","21 Nov","03 Feb","18 Nov","02 Mar","1-2","29 Mar","06 Jan","20 Feb","4-1"
"Fylde","0-2","3-3","17 Feb","2-2","27 Jan","2-4","23 Dec","25 Nov","1-2","1-1",NA,"01 Apr","23 Jan","02 Dec","2-1","02 Mar","3-0","23 Mar","01 Jan","20 Feb","13 Apr","16 Mar","0-2","11 Nov"
"Gateshead","10 Feb","0-2","27 Jan","2-2","20 Apr","06 Apr","12 Mar","11 Nov","06 Jan","4-1","0-4",NA,"16 Dec","09 Mar","3-0","3-0","2-2","24 Feb","29 Mar","23 Jan","25 Nov","2-1","1-3","26 Dec"
"Halifax","03 Feb","01 Jan","13 Apr","09 Mar","2-0","20 Feb","0-0","0-1","2-3","23 Mar","21 Nov","0-0",NA,"2-1","2-1","20 Jan","12 Mar","1-1","23 Dec","02 Dec","1-1","18 Nov","17 Feb","01 Apr"
"Hartlepool","06 Apr","20 Feb","02 Mar","17 Feb","25 Nov","16 Dec","13 Apr","0-2","3-1","11 Nov","3-1","2-1","29 Mar",NA,"23 Jan","3-1","26 Dec","06 Jan","2-3","0-2","16 Mar","2-1","0-2","27 Jan"
"Kidderminster","20 Jan","29 Mar","1-2","01 Jan","0-0","1-3","18 Nov","17 Feb","13 Apr","02 Dec","12 Mar","20 Feb","06 Apr","21 Nov",NA,"0-0","1-2","03 Feb","1-1","0-1","23 Dec","1-0","0-0","09 Mar"
"Maidenhead","29 Mar","0-1","06 Apr","0-1","06 Jan","1-1","1-0","09 Mar","3-2","23 Jan","2-2","13 Apr","11 Nov","12 Mar","16 Dec",NA,"17 Feb","0-0","2-2","27 Jan","20 Feb","26 Dec","0-0","25 Nov"
